,name,label
591,2008_002494,2.715492
1152,2008_004752,2.71649
920,2008_003876,2.718154
121,2008_000464,2.718495
1607,2008_006619,2.72
1786,2008_007403,2.72
2357,2009_000817,2.72
2454,2009_001180,2.72
2824,2009_002614,2.72
4697,2010_004680,2.72
750,2008_003189,2.721316
835,2008_003524,2.722235
775,2008_003302,2.72682
2005,2008_008284,2.73
2879,2009_002831,2.73
3069,2009_003608,2.73
3167,2009_003958,2.73
3478,2009_005218,2.73
3837,2010_001240,2.73
4719,2010_004756,2.73
1493,2008_006090,2.731545
691,2008_002910,2.731976
771,2008_003287,2.736854
2942,2009_003070,2.73693
371,2008_001551,2.73818
1669,2008_006908,2.738762
4812,2010_005101,2.739103
2414,2009_001038,2.74
3179,2009_003994,2.74
3451,2009_005130,2.74
3956,2010_001652,2.74
3986,2010_001794,2.74
4571,2010_004187,2.74
4808,2010_005094,2.74
4836,2010_005184,2.74
5186,2011_000514,2.74
5360,2011_001315,2.74
762,2008_003242,2.741236
1357,2008_005538,2.742805
676,2008_002854,2.743152
2743,2009_002291,2.746679
1126,2008_004659,2.7467
403,2008_001691,2.75
1330,2008_005436,2.75
1335,2008_005455,2.75
2439,2009_001117,2.75
4180,2010_002543,2.75
5156,2011_000392,2.75
1325,2008_005421,2.750222
105,2008_000399,2.751186
911,2008_003846,2.752365
405,2008_001704,2.753057
662,2008_002793,2.753929
423,2008_001782,2.75493
2230,2009_000339,2.758133
991,2008_004134,2.758317
1910,2008_007904,2.76
2308,2009_000638,2.76
2668,2009_001999,2.76
2954,2009_003105,2.76
3257,2009_004285,2.76
4319,2010_003139,2.76
4929,2010_005557,2.76
4952,2010_005627,2.76
4982,2010_005752,2.76
5420,2011_001572,2.76
765,2008_003255,2.760091
736,2008_003104,2.761488
981,2008_004106,2.762809
682,2008_002882,2.763374
1403,2008_005724,2.763662
353,2008_001475,2.764763
851,2008_003608,2.765221
3045,2009_003498,2.766441
1528,2008_006213,2.766454
4957,2010_005647,2.768275
831,2008_003520,2.768282
2719,2009_002199,2.768639
5743,2011_003091,2.768823
3648,2010_000477,2.769151
672,2008_002835,2.769424
1168,2008_004822,2.769886
2249,2009_000435,2.769991
1145,2008_004726,2.77
2075,2008_008544,2.77
2234,2009_000377,2.77
3095,2009_003698,2.77
3674,2010_000567,2.77
4647,2010_004483,2.77
844,2008_003578,2.770105
3448,2009_005120,2.770695
3667,2010_000541,2.770911
4752,2010_004906,2.771395
803,2008_003420,2.772127
1717,2008_007086,2.773769
216,2008_000858,2.774334
280,2008_001121,2.774357
1436,2008_005875,2.775012
464,2008_001941,2.775528
4613,2010_004357,2.776522
399,2008_001668,2.776563
1063,2008_004416,2.777041
4286,2010_003025,2.777538
314,2008_001290,2.77874
1920,2008_007937,2.78
2600,2009_001733,2.78
3470,2009_005190,2.78
474,2008_001982,2.781424
1542,2008_006285,2.782397
3191,2009_004044,2.782568
1585,2008_006517,2.783095
1506,2008_006128,2.783975
2159,2009_000091,2.785244
593,2008_002499,2.785923
589,2008_002487,2.787505
874,2008_003704,2.787637
520,2008_002176,2.788789
1140,2008_004704,2.79
2834,2009_002645,2.79
3277,2009_004382,2.79
3527,2010_000082,2.79
3991,2010_001806,2.79
4983,2010_005753,2.79
5256,2011_000850,2.79
2876,2009_002803,2.790846
1248,2008_005134,2.791062
1009,2008_004218,2.79124
615,2008_002622,2.791795
2896,2009_002890,2.792338
205,2008_000808,2.794094
770,2008_003278,2.794958
1453,2008_005935,2.796696
437,2008_001825,2.797779
3463,2009_005158,2.79817
1443,2008_005895,2.798608
3362,2009_004737,2.799314
5000,2010_005806,2.799677
172,2008_000678,2.8
182,2008_000724,2.8
184,2008_000729,2.8
363,2008_001514,2.8
718,2008_003048,2.8
4498,2010_003879,2.8
4632,2010_004428,2.8
5278,2011_000973,2.8
166,2008_000666,2.801531
1264,2008_005186,2.803064
788,2008_003361,2.803362
1490,2008_006072,2.803365
697,2008_002931,2.803603
1690,2008_006987,2.803915
4780,2010_004991,2.804153
3487,2009_005251,2.804485
1215,2008_005000,2.804925
2335,2009_000745,2.805198
3049,2009_003513,2.806021
543,2008_002292,2.806493
316,2008_001296,2.807306
1113,2008_004616,2.808396
1062,2008_004403,2.808617
892,2008_003763,2.808767
348,2008_001454,2.809482
411,2008_001724,2.81
873,2008_003703,2.81
1831,2008_007587,2.81
2862,2009_002754,2.81
3524,2010_000075,2.81
3777,2010_000971,2.81
4711,2010_004733,2.81
4865,2010_005317,2.81
5747,2011_003111,2.81
3577,2010_000241,2.810267
982,2008_004110,2.810749
195,2008_000782,2.812015
1184,2008_004893,2.812394
2655,2009_001948,2.813482
1648,2008_006781,2.814216
1070,2008_004438,2.814632
3480,2009_005221,2.815729
4562,2010_004157,2.815731
1761,2008_007265,2.816555
332,2008_001374,2.817583
783,2008_003338,2.819185
1500,2008_006109,2.81936
784,2008_003343,2.819668
572,2008_002428,2.82
942,2008_003944,2.82
1137,2008_004696,2.82
2420,2009_001059,2.82
2698,2009_002119,2.82
3954,2010_001647,2.82
4473,2010_003764,2.82
4735,2010_004829,2.82
4809,2010_005096,2.82
4911,2010_005496,2.82
4945,2010_005603,2.82
5535,2011_002100,2.82
5562,2011_002228,2.82
3199,2009_004084,2.821036
1046,2008_004347,2.823558
167,2008_000672,2.82517
140,2008_000533,2.825398
4112,2010_002248,2.82598
3873,2010_001372,2.826014
3615,2010_000362,2.826914
1267,2008_005194,2.82758
1036,2008_004306,2.827907
2355,2009_000796,2.828031
1269,2008_005208,2.828599
3084,2009_003667,2.828634
857,2008_003624,2.83
1163,2008_004804,2.83
2038,2008_008404,2.83
3454,2009_005140,2.83
4124,2010_002310,2.83
4716,2010_004749,2.83
5668,2011_002699,2.83
5721,2011_002992,2.83
470,2008_001971,2.830049
1018,2008_004259,2.831683
4770,2010_004959,2.831726
4471,2010_003758,2.833031
2219,2009_000303,2.833476
1552,2008_006320,2.833806
1970,2008_008105,2.834096
3387,2009_004855,2.835017
5670,2011_002715,2.835114
1196,2008_004934,2.836258
2048,2008_008435,2.836532
1247,2008_005133,2.836852
4025,2010_001937,2.837244
309,2008_001262,2.837341
480,2008_002001,2.837419
266,2008_001057,2.837546
5195,2011_000565,2.839348
694,2008_002926,2.839763
4795,2010_005059,2.839956
630,2008_002677,2.84
1315,2008_005380,2.84
1492,2008_006085,2.84
1498,2008_006104,2.84
2127,2008_008765,2.84
2334,2009_000742,2.84
2542,2009_001476,2.84
3785,2010_001013,2.84
4079,2010_002138,2.84
4312,2010_003119,2.84
4433,2010_003618,2.84
4730,2010_004813,2.84
4796,2010_005060,2.84
4805,2010_005083,2.84
4866,2010_005323,2.84
5183,2011_000511,2.84
689,2008_002908,2.840558
2006,2008_008292,2.841651
3735,2010_000799,2.841919
3610,2010_000342,2.844443
3535,2010_000099,2.845154
1019,2008_004263,2.846643
1010,2008_004221,2.847548
512,2008_002145,2.84852
5771,2011_003244,2.848965
1600,2008_006599,2.85
1872,2008_007764,2.85
2123,2008_008746,2.85
2322,2009_000702,2.85
2495,2009_001312,2.85
3284,2009_004424,2.85
3743,2010_000836,2.85
3896,2010_001448,2.85
4267,2010_002938,2.85
4389,2010_003418,2.85
4517,2010_003980,2.85
4638,2010_004451,2.85
4816,2010_005115,2.85
5648,2011_002589,2.85
5779,2011_003275,2.85
2163,2009_000103,2.850107
1561,2008_006351,2.850704
941,2008_003943,2.851054
776,2008_003303,2.851322
1101,2008_004575,2.851662
1665,2008_006896,2.852538
1873,2008_007777,2.852768
1115,2008_004620,2.853465
3264,2009_004308,2.853723
847,2008_003585,2.853786
2562,2009_001565,2.853999
4691,2010_004667,2.854161
1883,2008_007816,2.854931
537,2008_002258,2.854997
566,2008_002403,2.855214
833,2008_003522,2.855384
3602,2010_000320,2.855689
1308,2008_005362,2.855978
624,2008_002666,2.856579
5510,2011_001959,2.856661
692,2008_002913,2.857164
3093,2009_003696,2.857166
1949,2008_008048,2.857939
3744,2010_000837,2.858011
696,2008_002930,2.858215
1169,2008_004825,2.858257
2791,2009_002472,2.85892
1135,2008_004689,2.859508
993,2008_004145,2.859734
2500,2009_001332,2.859769
1387,2008_005656,2.85999
1094,2008_004522,2.86
1909,2008_007891,2.86
2025,2008_008354,2.86
2233,2009_000354,2.86
2354,2009_000794,2.86
2652,2009_001929,2.86
2661,2009_001975,2.86
2934,2009_003039,2.86
3552,2010_000157,2.86
3793,2010_001042,2.86
3887,2010_001417,2.86
3925,2010_001555,2.86
4093,2010_002181,2.86
4302,2010_003086,2.86
4516,2010_003974,2.86
5723,2011_003013,2.86
3514,2010_000045,2.860793
1206,2008_004975,2.861448
4331,2010_003176,2.862377
3969,2010_001697,2.862604
463,2008_001934,2.8638
984,2008_004119,2.863864
800,2008_003409,2.864029
2225,2009_000320,2.866525
544,2008_002293,2.866732
4800,2010_005068,2.867538
85,2008_000339,2.867759
827,2008_003504,2.868028
853,2008_003611,2.868935
4038,2010_001976,2.869166
413,2008_001730,2.87
1313,2008_005376,2.87
1519,2008_006170,2.87
2364,2009_000839,2.87
3500,2009_005307,2.87
3692,2010_000641,2.87
5418,2011_001568,2.87
5486,2011_001840,2.87
5760,2011_003163,2.87
2901,2009_002918,2.870075
5471,2011_001779,2.870269
1095,2008_004525,2.870344
2583,2009_001660,2.870627
223,2008_000901,2.870664
4600,2010_004304,2.870706
4988,2010_005762,2.871233
3088,2009_003686,2.871276
245,2008_000973,2.871694
927,2008_003892,2.871857
2648,2009_001916,2.872018
4506,2010_003920,2.872193
91,2008_000358,2.872562
2850,2009_002708,2.872599
193,2008_000777,2.872799
287,2008_001160,2.873026
1496,2008_006099,2.873242
1338,2008_005463,2.873255
1566,2008_006376,2.873424
3958,2010_001665,2.873444
4105,2010_002224,2.874097
5100,2011_000124,2.874128
560,2008_002370,2.874355
5058,2010_006035,2.874721
2594,2009_001713,2.874888
1758,2008_007256,2.875093
639,2008_002712,2.875608
3905,2010_001465,2.876416
2370,2009_000869,2.877123
658,2008_002778,2.877166
4977,2010_005738,2.877177
2003,2008_008274,2.877978
779,2008_003326,2.878325
761,2008_003239,2.87927
4300,2010_003081,2.879322
1139,2008_004703,2.879714
1545,2008_006294,2.88
1793,2008_007434,2.88
1946,2008_008037,2.88
1989,2008_008215,2.88
2138,2009_000029,2.88
2539,2009_001457,2.88
2660,2009_001972,2.88
3452,2009_005131,2.88
3593,2010_000295,2.88
3651,2010_000484,2.88
3800,2010_001069,2.88
4430,2010_003605,2.88
4606,2010_004339,2.88
4987,2010_005761,2.88
5406,2011_001534,2.88
5756,2011_003154,2.88
1525,2008_006205,2.880061
1154,2008_004767,2.881917
5600,2011_002398,2.882203
359,2008_001501,2.88257
1012,2008_004234,2.882849
2778,2009_002429,2.883508
4,2008_000021,2.883764
2965,2009_003151,2.884388
3761,2010_000899,2.884455
3682,2010_000608,2.885194
754,2008_003203,2.885476
4637,2010_004450,2.885538
673,2008_002842,2.885757
600,2008_002562,2.886655
5310,2011_001133,2.886991
3205,2009_004103,2.887443
623,2008_002665,2.88745
888,2008_003749,2.887541
1962,2008_008084,2.887776
415,2008_001744,2.887843
3379,2009_004817,2.888069
2394,2009_000962,2.888212
971,2008_004075,2.8886
2255,2009_000456,2.888827
2476,2009_001251,2.889759
678,2008_002859,2.89
729,2008_003087,2.89
1787,2008_007404,2.89
2009,2008_008300,2.89
2027,2008_008359,2.89
2043,2008_008421,2.89
2226,2009_000322,2.89
2329,2009_000731,2.89
3561,2010_000189,2.89
3711,2010_000721,2.89
3946,2010_001626,2.89
4153,2010_002422,2.89
4385,2010_003402,2.89
4535,2010_004052,2.89
4962,2010_005672,2.89
5104,2011_000149,2.89
5131,2011_000269,2.89
2705,2009_002133,2.890788
242,2008_000960,2.891473
1189,2008_004900,2.891685
4765,2010_004945,2.891979
3880,2010_001402,2.892029
4810,2010_005099,2.892485
904,2008_003813,2.892502
965,2008_004042,2.892602
2384,2009_000930,2.893136
1266,2008_005193,2.893774
2911,2009_002957,2.893952
3238,2009_004200,2.893967
2241,2009_000410,2.89423
3178,2009_003993,2.894423
4120,2010_002279,2.89513
498,2008_002056,2.895349
5189,2011_000526,2.895372
1895,2008_007842,2.895783
1122,2008_004647,2.895823
3759,2010_000891,2.896047
3254,2009_004274,2.896673
3132,2009_003815,2.896754
2054,2008_008455,2.897341
2101,2008_008652,2.897559
2613,2009_001774,2.897745
1276,2008_005233,2.898311
2305,2009_000634,2.898439
2733,2009_002245,2.898887
985,2008_004121,2.899069
1162,2008_004802,2.899339
3836,2010_001237,2.89939
2889,2009_002865,2.899453
1785,2008_007394,2.899784
764,2008_003249,2.899892
33,2008_000134,2.9
163,2008_000655,2.9
169,2008_000674,2.9
244,2008_000972,2.9
274,2008_001098,2.9
829,2008_003510,2.9
5242,2011_000789,2.9
4136,2010_002371,2.900707
2556,2009_001535,2.902823
547,2008_002305,2.903206
26,2008_000096,2.903946
1153,2008_004764,2.90406
687,2008_002894,2.90407
4899,2010_005442,2.904097
2413,2009_001037,2.904473
1644,2008_006774,2.90464
685,2008_002890,2.904803
3943,2010_001607,2.905243
3269,2009_004327,2.905363
879,2008_003720,2.905644
1099,2008_004568,2.905739
1379,2008_005631,2.905752
2313,2009_000664,2.906002
2229,2009_000330,2.906804
2487,2009_001288,2.907113
452,2008_001872,2.907788
3582,2010_000254,2.907929
3671,2010_000557,2.90863
4972,2010_005723,2.908835
3975,2010_001739,2.908944
1055,2008_004385,2.909032
1133,2008_004672,2.909323
778,2008_003313,2.90988
478,2008_001998,2.91
1300,2008_005335,2.91
1455,2008_005938,2.91
1841,2008_007630,2.91
2064,2008_008507,2.91
2397,2009_000970,2.91
2441,2009_001128,2.91
3718,2010_000735,2.91
4344,2010_003227,2.91
4586,2010_004242,2.91
4766,2010_004946,2.91
5583,2011_002324,2.91
5692,2011_002817,2.91
2561,2009_001562,2.91026
197,2008_000785,2.910421
1270,2008_005209,2.910664
1240,2008_005109,2.910742
1520,2008_006175,2.911192
3696,2010_000655,2.911391
875,2008_003706,2.911433
1083,2008_004478,2.911692
3867,2010_001351,2.911934
5700,2011_002868,2.912881
528,2008_002208,2.91331
2679,2009_002061,2.913494
1553,2008_006329,2.913999
1014,2008_004239,2.914157
3318,2009_004552,2.915185
482,2008_002005,2.915317
801,2008_003417,2.91555
5029,2010_005935,2.91605
4587,2010_004244,2.916206
1156,2008_004774,2.916578
4881,2010_005376,2.916967
583,2008_002465,2.917252
2941,2009_003068,2.917348
505,2008_002103,2.917394
2947,2009_003087,2.917443
3999,2010_001838,2.917478
4122,2010_002299,2.917587
2446,2009_001147,2.917655
2704,2009_002131,2.917939
1938,2008_008004,2.918478
2843,2009_002684,2.918491
2491,2009_001305,2.919389
4848,2010_005230,2.919881
659,2008_002784,2.92
1170,2008_004833,2.92
1339,2008_005465,2.92
1354,2008_005525,2.92
1393,2008_005679,2.92
1502,2008_006119,2.92
1805,2008_007496,2.92
2186,2009_000181,2.92
2469,2009_001221,2.92
2636,2009_001869,2.92
2753,2009_002324,2.92
2792,2009_002476,2.92
2895,2009_002888,2.92
3207,2009_004111,2.92
4338,2010_003199,2.92
4608,2010_004344,2.92
4759,2010_004930,2.92
4973,2010_005725,2.92
5130,2011_000268,2.92
5139,2011_000299,2.92
5392,2011_001471,2.92
5542,2011_002132,2.92
5671,2011_002724,2.920379
2782,2009_002445,2.920406
4958,2010_005652,2.920534
3849,2010_001291,2.920781
4218,2010_002723,2.920826
2340,2009_000756,2.920865
1109,2008_004611,2.921178
337,2008_001413,2.921762
1198,2008_004940,2.92204
994,2008_004147,2.922872
2951,2009_003095,2.923298
479,2008_002000,2.923496
15,2008_000060,2.923513
148,2008_000579,2.924133
4392,2010_003450,2.924426
960,2008_004015,2.924964
573,2008_002429,2.925057
730,2008_003088,2.925162
2478,2009_001254,2.925366
2362,2009_000833,2.925423
119,2008_000455,2.925767
18,2008_000066,2.926865
1888,2008_007829,2.92722
3357,2009_004716,2.92726
2154,2009_000082,2.927657
1595,2008_006561,2.927794
878,2008_003718,2.927846
3118,2009_003771,2.928366
4913,2010_005498,2.92845
1022,2008_004273,2.928506
1104,2008_004583,2.92854
1333,2008_005447,2.929018
40,2008_000162,2.929049
3388,2009_004858,2.929117
4922,2010_005531,2.929198
2746,2009_002301,2.929548
14,2008_000059,2.929823
1027,2008_004287,2.93
1285,2008_005252,2.93
2036,2008_008395,2.93
2114,2008_008711,2.93
2227,2009_000327,2.93
3071,2009_003626,2.93
3098,2009_003704,2.93
3483,2009_005236,2.93
4121,2010_002294,2.93
4570,2010_004182,2.93
5025,2010_005914,2.93
5491,2011_001863,2.93
641,2008_002719,2.930097
2709,2009_002151,2.930447
4845,2010_005217,2.930479
4380,2010_003390,2.930565
5082,2011_000044,2.931326
1265,2008_005190,2.931682
3464,2009_005160,2.931921
2212,2009_000285,2.932427
3249,2009_004232,2.932801
5152,2011_000379,2.933337
845,2008_003579,2.933424
1053,2008_004376,2.933465
896,2008_003779,2.934002
2497,2009_001316,2.934676
130,2008_000492,2.934698
1621,2008_006696,2.93579
3725,2010_000750,2.936754
4417,2010_003554,2.9372
1697,2008_007028,2.937659
4461,2010_003721,2.938248
4099,2010_002204,2.938402
2540,2009_001466,2.939071
656,2008_002766,2.939073
4424,2010_003592,2.93914
526,2008_002199,2.939382
861,2008_003647,2.939434
817,2008_003472,2.93974
2976,2009_003199,2.939886
1125,2008_004654,2.94
1186,2008_004896,2.94
1862,2008_007730,2.94
1877,2008_007794,2.94
2139,2009_000030,2.94
2261,2009_000477,2.94
2528,2009_001419,2.94
2874,2009_002791,2.94
2931,2009_003023,2.94
3398,2009_004895,2.94
3773,2010_000948,2.94
3786,2010_001016,2.94
3850,2010_001292,2.94
3868,2010_001356,2.94
3898,2010_001450,2.94
4046,2010_001995,2.94
4193,2010_002616,2.94
4203,2010_002661,2.94
4235,2010_002778,2.94
4756,2010_004917,2.94
4826,2010_005152,2.94
4975,2010_005731,2.94
4996,2010_005785,2.94
5121,2011_000229,2.94
5563,2011_002230,2.94
5138,2011_000293,2.940025
3079,2009_003647,2.940477
613,2008_002612,2.94093
2852,2009_002714,2.941095
3268,2009_004324,2.943359
4806,2010_005087,2.943767
327,2008_001336,2.943837
2209,2009_000277,2.943902
5122,2011_000232,2.945121
3930,2010_001569,2.945128
1107,2008_004602,2.945143
4837,2010_005185,2.945867
2523,2009_001403,2.94598
3862,2010_001331,2.946614
2371,2009_000871,2.94665
733,2008_003095,2.946664
2548,2009_001502,2.946784
3122,2009_003783,2.947126
424,2008_001783,2.947582
295,2008_001185,2.94813
2318,2009_000684,2.948274
2737,2009_002259,2.948795
1116,2008_004624,2.948994
3988,2010_001796,2.949002
1617,2008_006668,2.949534
3335,2009_004628,2.949557
698,2008_002943,2.949692
645,2008_002730,2.95
794,2008_003386,2.95
1058,2008_004394,2.95
1211,2008_004990,2.95
1241,2008_005110,2.95
1800,2008_007472,2.95
1927,2008_007955,2.95
1933,2008_007989,2.95
2342,2009_000758,2.95
2521,2009_001391,2.95
2734,2009_002252,2.95
2741,2009_002281,2.95
2750,2009_002317,2.95
2865,2009_002763,2.95
3047,2009_003500,2.95
3519,2010_000061,2.95
3600,2010_000317,2.95
3935,2010_001590,2.95
4128,2010_002320,2.95
4194,2010_002621,2.95
4298,2010_003067,2.95
4373,2010_003368,2.95
4475,2010_003771,2.95
4549,2010_004107,2.95
4564,2010_004163,2.95
4595,2010_004283,2.95
4821,2010_005129,2.95
4943,2010_005597,2.95
5102,2011_000129,2.95
5290,2011_001016,2.95
5364,2011_001326,2.95
887,2008_003746,2.950231
4882,2010_005377,2.950274
1298,2008_005331,2.950556
443,2008_001852,2.950754
188,2008_000745,2.951284
1534,2008_006249,2.951381
2801,2009_002530,2.951457
712,2008_003015,2.951852
3551,2010_000151,2.95208
4609,2010_004346,2.952493
1905,2008_007879,2.952748
32,2008_000131,2.953147
201,2008_000796,2.953493
1899,2008_007855,2.954103
350,2008_001456,2.955062
3698,2010_000664,2.955235
2819,2009_002604,2.955305
3517,2010_000055,2.95558
2353,2009_000790,2.955627
3028,2009_003430,2.955629
1303,2008_005346,2.955923
2657,2009_001962,2.955946
2752,2009_002320,2.956419
1166,2008_004808,2.956438
1227,2008_005064,2.95679
2849,2009_002704,2.957164
5500,2011_001902,2.957788
5734,2011_003057,2.957911
1711,2008_007073,2.958034
289,2008_001166,2.958282
1602,2008_006609,2.958412
4825,2010_005149,2.959175
466,2008_001961,2.959575
4066,2010_002095,2.959825
1273,2008_005216,2.959955
1059,2008_004396,2.96
1118,2008_004631,2.96
1284,2008_005251,2.96
1560,2008_006347,2.96
2202,2009_000233,2.96
2223,2009_000317,2.96
2720,2009_002204,2.96
2748,2009_002308,2.96
2755,2009_002326,2.96
3345,2009_004662,2.96
3553,2010_000159,2.96
3590,2010_000285,2.96
3918,2010_001522,2.96
4284,2010_003019,2.96
4480,2010_003799,2.96
4631,2010_004425,2.96
4745,2010_004861,2.96
4799,2010_005064,2.96
5155,2011_000388,2.96
5306,2011_001114,2.96
5682,2011_002772,2.96
4596,2010_004286,2.96025
1011,2008_004230,2.960337
962,2008_004021,2.961006
111,2008_000413,2.961057
222,2008_000899,2.961126
2392,2009_000958,2.961363
3678,2010_000576,2.9618
1466,2008_006000,2.962719
802,2008_003418,2.963405
4030,2010_001950,2.963664
199,2008_000788,2.963886
5095,2011_000103,2.963959
5745,2011_003098,2.964019
769,2008_003277,2.964165
1763,2008_007274,2.964474
1351,2008_005521,2.964495
1699,2008_007034,2.964581
4376,2010_003372,2.965402
1399,2008_005699,2.965474
3410,2009_004946,2.965542
4728,2010_004808,2.965698
3091,2009_003694,2.965752
2014,2008_008318,2.966533
2568,2009_001587,2.967023
2378,2009_000915,2.967256
665,2008_002806,2.967592
2465,2009_001205,2.967868
3506,2010_000014,2.96792
1124,2008_004649,2.967995
4700,2010_004694,2.968026
5346,2011_001259,2.968701
601,2008_002564,2.969189
3783,2010_001008,2.969729
1097,2008_004544,2.97
1429,2008_005847,2.97
1634,2008_006732,2.97
1751,2008_007229,2.97
1768,2008_007289,2.97
1890,2008_007836,2.97
2007,2008_008294,2.97
2204,2009_000248,2.97
2445,2009_001146,2.97
2482,2009_001264,2.97
2730,2009_002232,2.97
3021,2009_003396,2.97
3096,2009_003702,2.97
3462,2009_005155,2.97
3575,2010_000229,2.97
3625,2010_000392,2.97
4072,2010_002118,2.97
4204,2010_002662,2.97
4494,2010_003863,2.97
4822,2010_005134,2.97
4842,2010_005206,2.97
4905,2010_005472,2.97
4927,2010_005551,2.97
5259,2011_000855,2.97
5706,2011_002908,2.97
483,2008_002007,2.970096
980,2008_004105,2.970372
1250,2008_005137,2.97053
4598,2010_004295,2.970915
3982,2010_001776,2.971025
151,2008_000602,2.971322
4928,2010_005556,2.971386
3780,2010_000994,2.971751
837,2008_003544,2.971804
2197,2009_000218,2.972072
5630,2011_002528,2.972505
5349,2011_001264,2.97323
746,2008_003178,2.973298
668,2008_002829,2.973306
2822,2009_002609,2.973505
605,2008_002578,2.973603
3522,2010_000072,2.973883
319,2008_001306,2.974601
1299,2008_005333,2.97482
1568,2008_006386,2.974929
1839,2008_007625,2.975218
1323,2008_005408,2.975545
407,2008_001714,2.975857
2584,2009_001667,2.976043
3640,2010_000453,2.976076
440,2008_001845,2.976896
453,2008_001881,2.976909
1353,2008_005523,2.976928
2773,2009_002414,2.977191
1479,2008_006041,2.977249
170,2008_000676,2.97735
1677,2008_006926,2.97862
928,2008_003894,2.978792
4275,2010_002976,2.979487
4896,2010_005428,2.979572
1007,2008_004216,2.979604
1405,2008_005734,2.98
1540,2008_006281,2.98
1680,2008_006951,2.98
1746,2008_007211,2.98
1749,2008_007222,2.98
1795,2008_007441,2.98
1807,2008_007501,2.98
1859,2008_007710,2.98
1928,2008_007964,2.98
1951,2008_008052,2.98
1977,2008_008145,2.98
2011,2008_008307,2.98
2113,2008_008708,2.98
2282,2009_000563,2.98
2401,2009_000981,2.98
2405,2009_000996,2.98
2425,2009_001075,2.98
2763,2009_002370,2.98
2767,2009_002380,2.98
2776,2009_002423,2.98
2847,2009_002697,2.98
3014,2009_003376,2.98
3119,2009_003773,2.98
3736,2010_000802,2.98
3934,2010_001584,2.98
4001,2010_001842,2.98
4032,2010_001956,2.98
4166,2010_002468,2.98
4240,2010_002808,2.98
4333,2010_003185,2.98
4538,2010_004064,2.98
4668,2010_004569,2.98
4847,2010_005224,2.98
4900,2010_005458,2.98
5529,2011_002055,2.98
3018,2009_003381,2.980846
830,2008_003519,2.981522
1360,2008_005558,2.981586
5777,2011_003269,2.981617
1413,2008_005777,2.981871
2236,2009_000385,2.982224
550,2008_002322,2.98237
3618,2010_000374,2.982863
3161,2009_003933,2.982875
3305,2009_004502,2.98314
1921,2008_007941,2.983146
711,2008_003013,2.983325
4322,2010_003147,2.984088
1446,2008_005904,2.984093
983,2008_004112,2.98432
785,2008_003344,2.984484
954,2008_003997,2.984912
599,2008_002547,2.985089
2379,2009_000919,2.986083
4147,2010_002405,2.986415
902,2008_003801,2.986481
2732,2009_002240,2.986616
50,2008_000213,2.986676
4398,2010_003483,2.987141
3584,2010_000264,2.987443
1141,2008_004706,2.987526
185,2008_000733,2.987542
2467,2009_001212,2.988289
3300,2009_004486,2.98835
1432,2008_005855,2.988542
4893,2010_005416,2.988997
3439,2009_005078,2.989093
1848,2008_007673,2.989652
1178,2008_004856,2.989828
1041,2008_004326,2.99
1051,2008_004365,2.99
1625,2008_006708,2.99
1983,2008_008180,2.99
2164,2009_000104,2.99
2348,2009_000771,2.99
2462,2009_001198,2.99
