name,score
2008_000202,5.438214
2008_000203,4.226599
2008_000204,4.132790
2008_000207,3.115178
2008_000213,2.986676
2008_000215,3.072918
2008_000217,3.086219
2008_000219,3.518696
2008_000222,3.456302
2008_000223,3.278288
2008_000226,4.347273
2008_000227,3.203722
2008_000233,3.373827
2008_000234,3.322133
2008_000235,4.300725
2008_000236,3.716900
2008_000237,7.600000
2008_000238,3.183919
2008_000239,4.596974
2008_000243,3.326392
2008_000244,3.377195
2008_000246,3.806392
2008_000251,3.600000
2008_000252,4.024125
2008_000253,4.493934
2008_000254,3.840205
2008_000255,4.592799
2008_000257,5.290613
2008_000259,4.493534
2008_000260,3.321085
2008_000261,3.468516
2008_000262,4.041312
2008_000264,2.792099
2008_000266,3.316469
2008_000268,3.214876
2008_000270,3.058041
2008_000271,2.910512
2008_000272,3.467276
2008_000273,5.308870
2008_000274,4.895561
2008_000275,5.583839
2008_000277,3.317613
2008_000278,3.321814
2008_000281,4.768459
2008_000283,3.200000
2008_000284,4.209750
2008_000287,3.588491
2008_000289,3.672799
2008_000290,3.273163
2008_000291,3.699643
2008_000297,4.127487
2008_000298,2.965314
2008_000304,3.496752
2008_000305,4.494221
2008_000306,3.553137
2008_000307,3.291814
2008_000309,4.569040
2008_000311,3.566771
2008_000313,3.361698
2008_000315,4.555071
2008_000316,3.174862
2008_000318,3.304513
2008_000321,6.924235
2008_000328,3.684356
2008_000330,3.966415
2008_000335,3.733674
2008_000336,3.130867
2008_000338,5.044925
2008_000339,2.867759
2008_000340,2.646506
2008_000342,4.476675
2008_000343,4.359622
2008_000345,3.542729
2008_000346,3.575989
2008_000348,4.796499
2008_000350,3.401496
2008_000354,3.756510
2008_000356,3.263852
2008_000358,2.872562
2008_000359,3.232486
2008_000361,3.020953
2008_000364,3.442546
2008_000365,3.495959
2008_000367,3.259873
2008_000371,4.204618
2008_000373,3.914225
2008_000376,2.826774
2008_000378,3.161917
2008_000380,3.543434
2008_000381,4.689422
2008_000382,3.114348
2008_000383,3.097897
2008_000391,3.033050
2008_000392,3.642847
2008_000393,3.748090
2008_000397,4.273079
2008_000398,3.646066
2008_000399,2.751186
2008_000400,3.372754
2008_000401,3.370371
2008_000403,3.039227
2008_000405,3.527013
2008_000406,3.418187
2008_000407,3.409114
2008_000408,3.307996
2008_000413,2.961057
2008_000414,3.567565
2008_000415,3.779591
2008_000416,3.440616
2008_000418,3.298491
2008_000419,3.165293
2008_000421,4.746566
2008_000422,3.000000
2008_000423,3.833977
2008_000424,3.515344
2008_000426,3.185596
2008_000428,2.878427
2008_000432,3.193245
2008_000435,3.265085
2008_000436,3.237208
2008_000437,3.329448
2008_000442,3.138570
2008_000443,3.259653
2008_000445,3.039087
2008_000446,2.974049
2008_000447,4.087735
2008_000448,3.904395
2008_000452,2.916185
2008_000455,2.925767
2008_000457,3.386672
2008_000461,3.005982
2008_000464,2.718495
2008_000465,3.512900
2008_000466,3.694345
2008_000469,5.209709
2008_000470,3.143728
2008_000471,4.759071
2008_000472,5.680740
2008_000473,4.292273
2008_000474,3.493350
2008_000475,3.118580
2008_000480,3.561146
2008_000481,5.165837
2008_000488,3.346954
2008_000489,4.274699
2008_000491,2.951974
2008_000492,2.934698
2008_000493,3.078807
2008_000495,4.656667
2008_000496,3.351072
2008_000498,3.455440
2008_000499,3.253651
2008_000501,3.865522
2008_000502,3.188757
2008_000505,3.579164
2008_000510,2.861505
2008_000511,2.866782
2008_000512,3.096928
2008_000514,2.996566
2008_000515,3.072858
2008_000516,3.941469
2008_000519,3.303353
2008_000522,3.187021
2008_000527,3.146776
2008_000531,3.434931
2008_000532,3.149650
2008_000533,2.825398
2008_000535,3.053549
2008_000536,2.800000
2008_000540,3.151336
2008_000541,4.312461
2008_000544,3.194796
2008_000545,3.426855
2008_000547,3.039753
2008_000548,3.157226
2008_000552,3.051863
2008_000553,3.100000
2008_000558,3.532260
2008_000559,3.343606
2008_000561,3.025918
2008_000562,4.434976
2008_000563,3.231653
2008_000564,4.259482
2008_000566,3.963178
2008_000567,3.018222
2008_000568,2.962501
2008_000569,3.332402
2008_000572,3.199955
2008_000573,3.448579
2008_000578,4.953300
2008_000579,2.924133
2008_000581,3.025187
2008_000583,4.518688
2008_000584,3.712157
2008_000585,3.862999
2008_000588,3.500000
2008_000589,3.204164
2008_000595,3.400000
2008_000599,3.354002
2008_000602,2.971322
2008_000605,3.170610
2008_000607,3.199253
2008_000609,3.327438
2008_000613,3.700000
2008_000614,3.092597
2008_000615,3.050157
2008_000619,3.497751
2008_000620,3.400000
2008_000622,3.359566
2008_000623,2.613413
2008_000626,3.613403
2008_000628,2.886872
2008_000629,3.206484
2008_000630,3.409415
2008_000634,3.072929
2008_000636,3.396132
2008_000640,3.009437
2008_000641,4.669093
2008_000645,2.882904
2008_000646,3.012696
2008_000647,3.258439
2008_000648,3.974865
2008_000650,2.702145
2008_000652,3.000000
2008_000655,2.900000
2008_000656,3.450000
2008_000657,2.845868
2008_000659,3.220274
2008_000660,3.100000
2008_000661,3.037945
2008_000662,3.200000
2008_000666,2.801531
2008_000669,3.234739
2008_000670,2.884268
2008_000672,2.825170
2008_000673,3.100000
2008_000674,2.900000
2008_000676,2.977350
2008_000677,3.038692
2008_000678,2.800000
2008_000683,3.150587
2008_000689,3.290552
2008_000690,5.647010
2008_000691,6.250000
2008_000694,3.600000
2008_000695,3.322497
2008_000696,3.060948
2008_000697,3.284302
2008_000699,3.313703
2008_000700,3.073210
2008_000703,3.208235
2008_000704,3.667930
2008_000705,4.279809
2008_000706,3.598703
2008_000711,3.056172
2008_000714,3.283425
2008_000716,3.293465
2008_000719,4.518587
2008_000721,2.899873
2008_000723,3.114494
2008_000724,2.800000
2008_000725,3.148675
2008_000726,2.800000
2008_000727,3.300000
2008_000729,2.800000
2008_000731,2.900000
2008_000732,3.156193
2008_000733,2.987542
2008_000734,3.145757
2008_000737,3.049665
2008_000740,3.067165
2008_000742,2.700000
2008_000745,2.951284
2008_000748,3.081985
2008_000753,3.500000
2008_000756,3.065075
2008_000758,3.188295
2008_000760,3.205381
2008_000761,3.284118
2008_000764,3.531190
2008_000765,2.831048
2008_000769,4.171131
2008_000775,3.044726
2008_000776,3.500000
2008_000777,2.872799
2008_000778,3.108014
2008_000780,3.263161
2008_000782,2.812015
2008_000783,3.192602
2008_000785,2.910421
2008_000787,3.499192
2008_000788,2.963886
2008_000790,4.947521
2008_000792,4.072159
2008_000793,3.023991
2008_000795,3.400000
2008_000796,2.953493
2008_000798,5.043035
2008_000801,4.210936
2008_000803,2.981335
2008_000804,3.000000
2008_000805,3.000000
2008_000806,4.579110
2008_000808,2.794094
2008_000811,3.688916
2008_000814,3.200969
2008_000815,3.751437
2008_000817,3.964712
2008_000824,3.131634
2008_000825,2.849428
2008_000828,3.050266
2008_000829,3.216752
2008_000832,2.625206
2008_000833,4.348201
2008_000834,3.341870
2008_000835,3.403038
2008_000837,3.608713
2008_000839,2.470000
2008_000841,3.085451
2008_000842,5.003390
2008_000844,3.015620
2008_000847,3.436801
2008_000848,3.098760
2008_000851,4.195080
2008_000853,4.080628
2008_000854,3.023438
2008_000857,5.753344
2008_000858,2.774334
2008_000860,3.227563
2008_000861,3.130313
2008_000863,3.642229
2008_000864,3.598744
2008_000867,3.574929
2008_000868,6.107152
2008_000870,5.373217
2008_000873,3.300941
2008_000875,3.148749
2008_000876,6.926617
2008_000878,3.141832
2008_000880,3.300000
2008_000881,3.283859
2008_000883,4.412239
2008_000884,4.049328
2008_000885,3.969014
2008_000887,2.874439
2008_000897,3.291396
2008_000899,2.961126
2008_000901,2.870664
2008_000902,3.233473
2008_000904,3.968626
2008_000905,3.313021
2008_000908,2.951483
2008_000910,3.412725
2008_000911,3.907584
2008_000912,2.700000
2008_000914,3.920787
2008_000915,5.759098
2008_000916,3.141100
2008_000917,3.466310
2008_000919,3.424199
2008_000922,3.397949
2008_000923,5.928007
2008_000924,2.899235
2008_000928,3.591441
2008_000931,2.998807
2008_000934,3.083369
2008_000936,4.190443
2008_000939,3.520738
2008_000940,2.816690
2008_000941,3.400000
2008_000942,3.217083
2008_000943,3.029678
2008_000944,3.810767
2008_000950,3.538163
2008_000952,3.289903
2008_000953,4.982355
2008_000956,3.638480
2008_000957,3.268646
2008_000959,3.699274
2008_000960,2.891473
2008_000964,6.006206
2008_000965,3.077796
2008_000970,3.710220
2008_000971,3.522015
2008_000972,2.900000
2008_000973,2.871694
2008_000976,4.576950
2008_000979,3.154074
2008_000981,5.989028
2008_000982,3.805255
2008_000984,3.164171
2008_000985,2.822279
2008_000987,3.521440
2008_000992,3.388916
2008_000993,3.026744
2008_000999,3.039631
2008_001004,3.329429
2008_001007,3.498487
2008_001009,3.224788
2008_001012,2.914403
2008_001013,3.862341
2008_001018,5.560061
2008_001020,3.184025
2008_001021,3.305423
2008_001022,2.928687
2008_001023,3.200000
2008_001024,3.644020
2008_001026,2.661771
2008_001028,2.907043
2008_001030,4.236538
2008_001031,3.537079
2008_001034,3.441131
2008_001035,3.200000
2008_001036,2.700000
2008_001039,3.214879
2008_001040,3.033481
2008_001041,3.176903
2008_001042,3.067243
2008_001046,3.844999
2008_001047,3.525614
2008_001048,3.350154
2008_001052,3.493979
2008_001054,3.254784
2008_001055,3.050834
2008_001056,4.115860
2008_001057,2.837546
2008_001060,3.318614
2008_001062,3.629144
2008_001063,3.236268
2008_001066,3.204751
2008_001068,3.614250
2008_001070,3.319436
2008_001071,2.800000
2008_001073,4.181563
2008_001074,3.210656
2008_001075,2.935182
2008_001076,3.300000
2008_001077,3.814656
2008_001078,3.321249
2008_001080,3.802261
2008_001081,3.055390
2008_001083,3.500000
2008_001089,3.054144
2008_001090,3.562028
2008_001092,3.445948
2008_001098,2.900000
2008_001099,3.300000
2008_001104,3.763637
2008_001105,3.038787
2008_001106,3.697186
2008_001111,3.168394
2008_001112,3.496272
2008_001113,3.014109
2008_001114,3.300000
2008_001115,3.768555
2008_001118,3.416359
2008_001119,8.168096
2008_001120,3.062194
2008_001121,2.774357
2008_001122,3.328439
2008_001130,4.022867
2008_001133,3.402009
2008_001134,2.800000
2008_001135,3.600000
2008_001136,3.774524
2008_001137,3.166554
2008_001139,3.263126
2008_001140,6.433570
2008_001142,6.936400
2008_001143,3.358653
2008_001147,3.028406
2008_001150,3.851426
2008_001154,2.600000
2008_001155,3.698607
2008_001158,3.490369
2008_001159,4.113953
2008_001160,2.873026
2008_001161,4.877837
2008_001164,3.064646
2008_001166,2.958282
2008_001167,3.486894
2008_001168,3.346132
2008_001169,3.025847
2008_001170,3.048761
2008_001171,4.702791
2008_001177,3.597654
2008_001182,3.359477
2008_001183,3.319891
2008_001185,2.948130
2008_001188,3.007109
2008_001189,3.411377
2008_001190,3.047441
2008_001192,3.095969
2008_001194,2.600000
2008_001196,4.327173
2008_001199,3.740738
2008_001202,3.615231
2008_001203,6.620000
2008_001205,3.070553
2008_001206,2.991181
2008_001208,4.071456
2008_001210,3.013018
2008_001215,3.288353
2008_001218,3.198632
2008_001219,3.621289
2008_001220,3.158377
2008_001221,3.263279
2008_001223,3.932518
2008_001225,3.035235
2008_001226,3.859917
2008_001227,3.110694
2008_001230,3.299190
2008_001231,2.818399
2008_001235,3.105208
2008_001236,4.576208
2008_001238,3.126115
2008_001241,3.000000
2008_001245,2.800000
2008_001248,2.991402
2008_001249,3.076119
2008_001255,2.756785
2008_001257,3.238009
2008_001260,3.103062
2008_001262,2.837341
2008_001263,3.525407
2008_001264,3.094927
2008_001267,3.000000
2008_001271,2.900000
2008_001272,3.506343
2008_001274,2.896020
2008_001275,2.586542
2008_001278,3.512741
2008_001283,3.159806
2008_001284,2.663683
2008_001285,2.928278
2008_001290,2.778740
2008_001294,4.800000
2008_001296,2.807306
2008_001299,3.004421
2008_001301,3.162871
2008_001302,3.073926
2008_001304,3.219213
2008_001306,2.974601
2008_001307,5.810000
2008_001308,3.581248
2008_001310,3.106758
2008_001312,3.478944
2008_001314,3.129301
2008_001318,3.096051
2008_001320,3.255027
2008_001322,3.082248
2008_001325,2.891128
2008_001329,3.227708
2008_001333,4.552889
2008_001334,3.929291
2008_001335,2.737154
2008_001336,2.943837
2008_001338,5.182370
2008_001340,3.185568
2008_001344,3.158862
2008_001346,3.130923
2008_001349,3.200000
2008_001350,3.044447
2008_001351,3.161447
2008_001353,3.029470
2008_001356,3.266872
2008_001357,3.284947
2008_001358,3.207468
2008_001359,3.464543
2008_001366,3.187805
2008_001367,3.115809
2008_001369,2.917018
2008_001373,3.100000
2008_001374,2.817583
2008_001375,3.331940
2008_001376,3.875267
2008_001379,2.843770
2008_001380,2.982987
2008_001382,3.083164
2008_001383,3.006556
2008_001385,3.554476
2008_001387,2.828865
2008_001388,2.956346
2008_001389,3.315132
2008_001390,5.803755
2008_001391,3.216235
2008_001395,2.900000
2008_001399,3.388675
2008_001401,3.716047
2008_001402,3.179473
2008_001404,3.255249
2008_001405,3.037451
2008_001406,2.933948
2008_001408,2.648467
2008_001410,3.133459
2008_001413,2.921762
2008_001414,3.008380
2008_001415,3.305050
2008_001419,3.066735
2008_001420,4.523758
2008_001427,3.698004
2008_001428,2.951206
2008_001429,4.009525
2008_001430,2.830778
2008_001431,3.922642
2008_001432,3.600000
2008_001433,3.046984
2008_001434,3.747651
2008_001436,2.959850
2008_001437,3.192196
2008_001439,2.663397
2008_001440,3.387221
2008_001444,3.570318
2008_001445,3.500000
2008_001446,3.085294
2008_001448,3.075345
2008_001451,3.944983
2008_001454,2.809482
2008_001455,3.100000
2008_001456,2.955062
2008_001460,2.900000
2008_001461,3.978912
2008_001462,3.114753
2008_001464,3.262676
2008_001466,3.218825
2008_001467,3.793729
2008_001468,3.463032
2008_001470,3.235761
2008_001475,2.764763
2008_001478,3.058739
2008_001479,2.948092
2008_001481,3.404508
2008_001482,3.156925
2008_001486,3.900000
2008_001488,3.093635
2008_001491,3.400000
2008_001493,3.300000
2008_001494,3.100000
2008_001495,3.057193
2008_001498,3.200000
2008_001500,4.462878
2008_001501,2.882570
2008_001503,3.913907
2008_001504,3.166286
2008_001510,3.200000
2008_001513,3.707199
2008_001514,2.800000
2008_001516,4.200000
2008_001520,2.758374
2008_001522,3.719274
2008_001523,3.469695
2008_001525,3.965916
2008_001527,3.300000
2008_001529,4.500000
2008_001531,3.261105
2008_001533,3.204370
2008_001534,3.223213
2008_001536,3.242491
2008_001538,3.300000
2008_001539,3.300000
2008_001540,4.178240
2008_001541,5.000000
2008_001542,4.019284
2008_001543,3.860520
2008_001544,3.188193
2008_001546,2.650000
2008_001547,3.000000
2008_001549,3.134302
2008_001550,3.600000
2008_001551,2.738180
2008_001553,3.376277
2008_001563,2.896000
2008_001564,3.404945
2008_001566,4.800000
2008_001574,3.750000
2008_001575,3.284748
2008_001576,3.623239
2008_001577,3.405933
2008_001580,3.686424
2008_001582,2.805391
2008_001586,3.416370
2008_001589,3.056136
2008_001590,3.568990
2008_001591,3.404278
2008_001592,3.074707
2008_001593,3.100000
2008_001594,5.398169
2008_001596,3.494907
2008_001598,3.296239
2008_001601,3.000000
2008_001602,4.115792
2008_001605,3.410340
2008_001607,3.025939
2008_001609,3.127489
2008_001610,3.259954
2008_001613,6.079336
2008_001615,3.052949
2008_001617,3.730081
2008_001619,3.365745
2008_001620,3.500000
2008_001622,3.129800
2008_001624,4.227553
2008_001625,3.448428
2008_001626,3.109738
2008_001629,3.022525
2008_001631,3.700000
2008_001632,2.585907
2008_001636,3.400000
2008_001638,4.400000
2008_001640,3.046064
2008_001641,3.896031
2008_001643,3.400000
2008_001645,3.215564
2008_001648,2.825263
2008_001649,3.399737
2008_001652,3.349776
2008_001653,3.050624
2008_001655,3.031389
2008_001659,2.800000
2008_001660,3.100000
2008_001661,3.271927
2008_001663,4.610316
2008_001666,3.985357
2008_001667,3.060000
2008_001668,2.776563
2008_001669,3.161617
2008_001670,3.121617
2008_001673,3.432482
2008_001676,2.766586
2008_001679,2.700000
2008_001680,3.234803
2008_001681,3.460405
2008_001682,3.138676
2008_001688,4.264212
2008_001690,3.933795
2008_001691,2.750000
2008_001692,3.159274
2008_001694,3.282004
2008_001697,3.624815
2008_001699,2.846188
2008_001702,3.261695
2008_001704,2.753057
2008_001706,6.690729
2008_001708,2.931451
2008_001709,3.188877
2008_001710,3.590000
2008_001712,3.501426
2008_001714,2.975857
2008_001715,2.662824
2008_001716,3.107201
2008_001717,4.600000
2008_001719,2.740000
2008_001722,3.315863
2008_001723,4.245023
2008_001724,2.810000
2008_001727,3.039030
2008_001729,3.398212
2008_001730,2.870000
2008_001731,3.261176
2008_001735,2.959814
2008_001736,2.943497
2008_001737,3.340000
2008_001741,2.834664
2008_001742,2.892849
2008_001744,2.887843
2008_001745,3.233376
2008_001746,3.355180
2008_001750,3.256314
2008_001751,3.860000
2008_001757,4.613484
2008_001758,3.850000
2008_001761,2.891424
2008_001763,3.430000
2008_001764,3.185147
2008_001765,3.349409
2008_001769,2.898384
2008_001770,2.940000
2008_001772,4.197259
2008_001773,4.588513
2008_001774,2.607523
2008_001775,3.007278
2008_001781,3.552684
2008_001782,2.754930
2008_001783,2.947582
2008_001784,3.349395
2008_001787,4.377289
2008_001789,3.293863
2008_001791,3.328777
2008_001792,2.952154
2008_001796,4.291343
2008_001797,3.345588
2008_001799,4.086903
2008_001801,3.638644
2008_001802,3.200000
2008_001805,3.140071
2008_001806,2.680000
2008_001808,3.487990
2008_001809,4.220342
2008_001810,3.095942
2008_001811,3.400000
2008_001812,3.140000
2008_001813,3.143343
2008_001814,3.588140
2008_001815,3.289288
2008_001816,4.166752
2008_001820,2.897079
2008_001821,2.905071
2008_001823,3.644258
2008_001825,2.797779
2008_001829,2.940000
2008_001830,3.969915
2008_001832,3.064711
2008_001834,3.510000
2008_001836,3.038133
2008_001837,3.264723
2008_001838,3.079862
2008_001841,3.378766
2008_001842,3.650394
2008_001843,3.015823
2008_001845,2.976896
2008_001849,3.283180
2008_001850,3.250000
2008_001852,2.950754
2008_001854,3.210686
2008_001856,2.872165
2008_001858,3.815245
2008_001860,4.685970
2008_001862,3.762022
2008_001863,3.120000
2008_001865,3.982134
2008_001866,3.092076
2008_001867,4.070000
2008_001869,4.466060
2008_001871,3.054284
2008_001872,2.907788
2008_001874,2.906127
2008_001876,2.846512
2008_001880,3.472899
2008_001881,2.976909
2008_001882,3.174514
2008_001885,2.775377
2008_001888,4.022705
2008_001894,3.274375
2008_001895,2.864720
2008_001896,4.191462
2008_001899,3.032887
2008_001903,2.705055
2008_001905,3.106590
2008_001907,3.427723
2008_001908,4.300122
2008_001909,3.610000
2008_001910,3.652264
2008_001911,3.361926
2008_001914,4.105286
2008_001919,3.672339
2008_001920,3.800927
2008_001921,3.299499
2008_001926,3.057148
2008_001928,3.790000
2008_001929,3.338143
2008_001930,3.120000
2008_001932,2.840000
2008_001934,2.863800
2008_001937,3.028422
2008_001941,2.775528
2008_001945,3.137255
2008_001946,2.992299
2008_001947,3.950000
2008_001951,2.960000
2008_001955,3.420000
2008_001956,5.724808
2008_001957,3.180897
2008_001958,3.240000
2008_001961,2.959575
2008_001965,3.068738
2008_001966,3.756297
2008_001967,4.301351
2008_001969,2.910828
2008_001970,3.990000
2008_001971,2.830049
2008_001977,4.424880
2008_001978,3.253440
2008_001979,3.399700
2008_001980,3.124807
2008_001982,2.781424
2008_001985,3.897676
2008_001986,3.090000
2008_001987,4.747162
2008_001989,3.028041
2008_001992,3.046840
2008_001997,4.970045
2008_001998,2.910000
2008_002000,2.923496
2008_002001,2.837419
2008_002002,3.140000
2008_002003,3.146057
2008_002004,3.206926
2008_002005,2.915317
2008_002007,2.970096
2008_002009,3.500000
2008_002011,4.520749
2008_002013,2.600000
2008_002017,3.229571
2008_002021,3.249831
2008_002023,3.497858
2008_002026,3.717733
2008_002031,3.047301
2008_002032,6.213622
2008_002033,3.262749
2008_002035,3.682339
2008_002036,4.267939
2008_002037,4.694484
2008_002039,3.882294
2008_002042,2.713625
2008_002043,3.020000
2008_002045,3.400000
2008_002046,3.980097
2008_002047,3.995928
2008_002052,3.017112
2008_002056,2.895349
2008_002058,3.571274
2008_002061,3.316089
2008_002062,3.084671
2008_002064,2.792742
2008_002066,3.590000
2008_002067,4.041848
2008_002069,3.300000
2008_002071,3.092036
2008_002073,2.717803
2008_002079,3.856785
2008_002080,3.191013
2008_002082,6.339062
2008_002084,4.310000
2008_002086,3.395332
2008_002088,3.226090
2008_002092,3.182807
2008_002093,2.800000
2008_002094,3.800000
2008_002096,3.284596
2008_002098,6.970000
2008_002099,3.093721
2008_002103,2.917394
2008_002107,3.140963
2008_002112,3.800000
2008_002113,3.449606
2008_002114,4.057990
2008_002115,2.920018
2008_002116,3.140929
2008_002117,3.268531
2008_002118,4.812538
2008_002119,3.484733
2008_002123,3.320220
2008_002124,3.214468
2008_002129,3.931503
2008_002131,3.294718
2008_002132,3.288690
2008_002138,3.600000
2008_002140,3.062031
2008_002144,3.071007
2008_002145,2.848520
2008_002146,2.863397
2008_002148,3.200000
2008_002150,3.395935
2008_002151,2.777721
2008_002152,3.120524
2008_002153,4.127043
2008_002155,4.304103
2008_002156,3.403302
2008_002158,3.069757
2008_002160,3.102216
2008_002162,3.399253
2008_002167,2.993939
2008_002169,2.888884
2008_002172,3.079281
2008_002175,4.344272
2008_002176,2.788789
2008_002177,3.093236
2008_002179,3.458271
2008_002181,3.090726
2008_002182,2.900000
2008_002185,3.400000
2008_002191,3.488869
2008_002193,4.083110
2008_002194,3.361746
2008_002195,4.072113
2008_002197,4.500000
2008_002198,3.324163
2008_002199,2.939382
2008_002200,3.160599
2008_002201,2.871653
2008_002202,3.550000
2008_002204,3.466726
2008_002205,2.949900
2008_002206,3.150863
2008_002207,4.002458
2008_002208,2.913310
2008_002209,3.410000
2008_002210,3.260000
2008_002212,3.286291
2008_002215,2.758951
2008_002218,3.236066
2008_002220,3.062558
2008_002221,3.090025
2008_002222,3.200000
2008_002223,4.265137
2008_002225,3.800000
2008_002227,2.861852
2008_002229,3.453075
2008_002231,3.440000
2008_002234,3.000000
2008_002236,3.820429
2008_002239,2.805296
2008_002240,2.700589
2008_002241,3.654398
2008_002243,3.394424
2008_002244,3.281759
2008_002247,4.130000
2008_002248,2.843571
2008_002250,3.362350
2008_002251,3.546666
2008_002255,3.035707
2008_002258,2.854997
2008_002259,3.424801
2008_002262,3.347733
2008_002267,3.757371
2008_002269,2.781155
2008_002270,5.747407
2008_002272,2.874514
2008_002273,3.245231
2008_002278,4.328314
2008_002279,3.523128
2008_002280,4.713258
2008_002281,3.332299
2008_002283,3.416901
2008_002288,3.459204
2008_002292,2.806493
2008_002293,2.866732
2008_002294,2.711383
2008_002296,3.797294
2008_002298,3.177570
2008_002299,3.110972
2008_002304,3.915706
2008_002305,2.903206
2008_002307,3.689775
2008_002311,3.424526
2008_002312,3.130349
2008_002314,3.436049
2008_002317,4.040404
2008_002321,2.873528
2008_002322,2.982370
2008_002324,3.909226
2008_002325,3.621597
2008_002327,2.910000
2008_002328,3.649521
2008_002329,3.294418
2008_002330,3.515875
2008_002331,3.500493
2008_002335,5.118944
2008_002338,2.731107
2008_002340,3.510000
2008_002343,2.700202
2008_002344,2.917453
2008_002347,3.267914
2008_002349,3.021347
2008_002350,3.022880
2008_002356,3.168618
2008_002357,3.011819
2008_002358,3.155201
2008_002359,3.233027
2008_002361,3.081771
2008_002362,3.584968
2008_002365,3.464807
2008_002366,3.379802
2008_002368,3.180000
2008_002369,3.042393
2008_002370,2.874355
2008_002372,3.775779
2008_002374,3.420000
2008_002377,3.208329
2008_002378,7.070000
2008_002379,2.600000
2008_002383,2.681374
2008_002384,3.906539
2008_002389,3.260000
2008_002395,3.031857
2008_002399,3.170000
2008_002401,6.373351
2008_002403,2.855214
2008_002404,3.342170
2008_002405,3.714392
2008_002408,3.215810
2008_002410,3.023335
2008_002411,3.190921
2008_002412,3.681135
2008_002414,2.919970
2008_002418,2.967212
2008_002419,2.991420
2008_002422,3.408744
2008_002424,2.500000
2008_002425,3.145728
2008_002428,2.820000
2008_002429,2.925057
2008_002430,3.383966
2008_002434,3.385536
2008_002436,3.870000
2008_002437,3.200000
2008_002438,5.990711
2008_002439,3.116233
2008_002441,2.941815
2008_002442,4.953178
2008_002444,3.390150
2008_002445,3.711990
2008_002446,2.754840
2008_002448,5.319896
2008_002451,3.593734
2008_002452,3.544015
2008_002454,3.547059
2008_002456,3.694849
2008_002457,3.595809
2008_002458,3.154070
2008_002459,3.504825
2008_002461,2.983000
2008_002464,3.120167
2008_002465,2.917252
2008_002466,3.018458
2008_002467,2.728861
2008_002470,3.486364
2008_002471,3.049910
2008_002473,3.306822
2008_002477,3.142943
2008_002481,3.767944
2008_002482,3.106704
2008_002483,3.500000
2008_002484,3.126967
2008_002485,3.350000
2008_002487,2.787505
2008_002491,3.399731
2008_002492,3.389767
2008_002494,2.715492
2008_002495,3.115992
2008_002499,2.785923
2008_002501,3.181968
2008_002502,3.394222
2008_002504,2.800000
2008_002506,3.288495
2008_002508,5.324753
2008_002509,3.094662
2008_002510,4.513594
2008_002512,3.423916
2008_002514,2.890219
2008_002515,3.134715
2008_002516,4.863901
2008_002521,3.484915
2008_002523,3.116175
2008_002524,3.680000
2008_002526,2.970000
2008_002527,2.830000
2008_002533,3.120000
2008_002536,3.158581
2008_002540,3.098259
2008_002541,2.673734
2008_002542,2.991603
2008_002543,3.220000
2008_002547,2.985089
2008_002549,3.083034
2008_002551,3.187086
2008_002555,3.876880
2008_002558,3.035873
2008_002562,2.886655
2008_002564,2.969189
2008_002566,3.471165
2008_002567,3.350000
2008_002568,3.303671
2008_002574,3.875396
